Date,Start (ET),Team,Home?,PTS,W/L,W/L Binary,v_G,v_MP,v_FG,v_FGA,v_FG%,v_3P,v_3PA,v_3P%,v_2P,v_2PA,v_2P%,v_FT,v_FTA,v_FT%,v_ORB,v_DRB,v_TRB,v_AST,v_STL,v_BLK,v_TOV,v_PF,v_PTS,h_G,h_MP,h_FG,h_FGA,h_FG%,h_3P,h_3PA,h_3P%,h_2P,h_2PA,h_2P%,h_FT,h_FTA,h_FT%,h_ORB,h_DRB,h_TRB,h_AST,h_STL,h_BLK,h_TOV,h_PF,h_PTS,OT,Attend.,Notes
Fri Nov 3 2017,7:30p,Houston Rockets,0,119,W,1,82,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,82,240.3,38.2,85.5,0.446,11.2,31,0.36,27,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,,14087,
Fri Nov 3 2017,8:30p,New Orleans Pelicans,0,99,W,1,82,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,82,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,,19894,
Fri Nov 3 2017,9:00p,Miami Heat,0,94,L,0,82,243,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,82,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110,,15317,
Fri Nov 3 2017,7:00p,Milwaukee Bucks,0,96,L,0,82,241.8,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,82,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,,17207,
Fri Nov 3 2017,10:30p,Brooklyn Nets,0,112,L,0,82,242.1,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,82,242.7,40.7,88.4,0.461,10,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,,18997,
Fri Nov 3 2017,7:30p,Phoenix Suns,0,107,L,0,82,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9,82,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,,19404,
Fri Nov 3 2017,9:30p,Boston Celtics,0,101,W,1,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,82,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,,18203,
Fri Nov 3 2017,7:00p,Chicago Bulls,0,105,W,1,82,242.1,38.7,88.8,0.435,11,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,82,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,,19171,
Fri Nov 3 2017,7:00p,Indiana Pacers,0,110,L,0,82,240.9,40.8,86.4,0.472,9,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,82,241.2,40.8,86.6,0.472,11,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,,20668,
Fri Nov 3 2017,8:30p,Charlotte Hornets,0,101,L,0,82,241.2,39,86.7,0.45,10,27.2,0.369,28.9,59.4,0.487,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,82,240.6,39,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,,18418,
Fri Nov 3 2017,9:00p,Toronto Raptors,0,109,W,1,82,241.8,41.3,87.4,0.472,11.8,33,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7,82,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,,16258,
Fri Nov 3 2017,7:00p,Cleveland Cavaliers,0,130,W,1,82,240.6,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,82,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,,20356,
Sat Nov 4 2017,8:00p,New Orleans Pelicans,0,96,W,1,82,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,82,242.1,38.7,88.8,0.435,11,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,OT,21254,
Sat Nov 4 2017,9:00p,Golden State Warriors,0,127,W,1,82,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5,82,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110,,19711,
Sat Nov 4 2017,7:00p,Sacramento Kings,0,99,L,0,82,240.9,38.8,86.1,0.45,9,24,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8,82,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,,17683,
Sat Nov 4 2017,3:30p,Memphis Grizzlies,0,113,W,1,82,240.3,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,82,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109,,14777,
Sat Nov 4 2017,8:00p,Dallas Mavericks,0,99,L,0,82,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,82,241.5,41,86.1,0.476,8,22.5,0.357,33,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5,,16837,
Sun Nov 5 2017,3:00p,Atlanta Hawks,0,117,W,1,82,240.3,38.2,85.5,0.446,11.2,31,0.36,27,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,82,240.6,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,,20562,
Sun Nov 5 2017,7:00p,Utah Jazz,0,110,L,0,82,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,82,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,,16914,
Sun Nov 5 2017,3:30p,Miami Heat,0,104,W,1,82,243,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,82,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109,,15676,
Sun Nov 5 2017,9:30p,Memphis Grizzlies,0,102,L,0,82,240.3,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,82,242.7,40.7,88.4,0.461,10,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,,18997,
Sun Nov 5 2017,8:00p,Charlotte Hornets,0,94,L,0,82,241.2,39,86.7,0.45,10,27.2,0.369,28.9,59.4,0.487,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,82,241.5,41,86.1,0.476,8,22.5,0.357,33,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5,,14124,
Sun Nov 5 2017,7:30p,Indiana Pacers,0,101,L,0,82,240.9,40.8,86.4,0.472,9,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,82,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,,17889,
Sun Nov 5 2017,6:00p,Boston Celtics,0,104,W,1,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,82,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,,17731,
Sun Nov 5 2017,9:00p,Oklahoma City Thunder,0,99,L,0,82,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,82,240.9,39.3,87,0.452,10.3,28.1,0.366,29,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6,,19393,
Sun Nov 5 2017,7:00p,Phoenix Suns,0,95,L,0,82,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9,82,240.6,39,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,,18038,
Sun Nov 5 2017,6:00p,Washington Wizards,0,107,W,1,82,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,82,241.8,41.3,87.4,0.472,11.8,33,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7,,19800,
Mon Nov 6 2017,7:30p,Boston Celtics,0,110,W,1,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,82,240.3,38.2,85.5,0.446,11.2,31,0.36,27,54.5,0.495,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,,13215,
Mon Nov 6 2017,10:30p,Miami Heat,0,80,L,0,82,243,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,82,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5,,19596,
Mon Nov 6 2017,9:00p,Brooklyn Nets,0,98,W,1,82,242.1,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,82,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9,,15905,
Tue Nov 7 2017,7:00p,Milwaukee Bucks,0,119,L,0,82,241.8,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,82,240.6,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,,20562,
Tue Nov 7 2017,9:00p,Brooklyn Nets,0,104,L,0,82,242.1,38.2,86.8,0.441,12.7,35.7,0.356,25.5,51.1,0.5,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,82,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110,,14058,
Tue Nov 7 2017,7:00p,New Orleans Pelicans,0,117,W,1,82,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,82,240.9,40.8,86.4,0.472,9,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,,15014,
Tue Nov 7 2017,7:30p,Charlotte Hornets,0,113,L,0,82,241.2,39,86.7,0.45,10,27.2,0.369,28.9,59.4,0.487,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,82,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,,18704,
Tue Nov 7 2017,10:00p,Memphis Grizzlies,0,98,W,1,82,240.3,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,82,240.9,39.3,87,0.452,10.3,28.1,0.366,29,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6,,18692,
Tue Nov 7 2017,10:00p,Oklahoma City Thunder,0,86,L,0,82,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,82,240.9,38.8,86.1,0.45,9,24,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8,,17583,
Tue Nov 7 2017,8:30p,Los Angeles Clippers,0,107,L,0,82,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109,82,240.6,39,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,,18418,
Tue Nov 7 2017,7:30p,Chicago Bulls,0,114,L,0,82,242.1,38.7,88.8,0.435,11,31.1,0.355,27.6,57.8,0.478,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,82,241.8,41.3,87.4,0.472,11.8,33,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7,,19800,
Tue Nov 7 2017,9:00p,Philadelphia 76ers,0,104,W,1,82,241.2,40.8,86.6,0.472,11,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,82,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,,16063,
Tue Nov 7 2017,7:00p,Dallas Mavericks,0,113,W,1,82,241.5,38.1,85.9,0.444,11.8,32.8,0.36,26.4,53.1,0.496,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,82,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,,14505,
Wed Nov 8 2017,8:00p,Los Angeles Lakers,0,96,L,0,82,242.7,40.7,88.4,0.461,10,29.1,0.345,30.7,59.3,0.517,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,82,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,,18624,
Wed Nov 8 2017,7:00p,Indiana Pacers,0,97,L,0,82,240.9,40.8,86.4,0.472,9,24.5,0.369,31.8,61.9,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,82,241.5,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,,14407,
